time_difference,公告日期,证券代码,证券简称,违规年度
3.0,2017,498,山东路桥,2014.0
1.0,2021,300202,*ST 聚龙,2020.0
2.0,2023,300895,铜牛信息,2021.0
2.0,2017,498,山东路桥,2015.0
4.0,2022,300202,聚龙退,2018.0
1.0,2017,498,山东路桥,2016.0
3.0,2022,300202,聚龙退,2019.0
3.0,2021,502,绿景控股,2018.0
2.0,2022,300202,聚龙退,2020.0
1.0,2018,503,国新健康,2017.0
7.0,2023,300202,聚龙退,2016.0
9.0,2021,504,南华生物,2012.0
6.0,2023,300202,聚龙退,2017.0
0.0,2017,505,珠江控股,2017.0
5.0,2023,300202,聚龙退,2018.0
10.0,2022,506,中润资源,2012.0
4.0,2023,300202,聚龙退,2019.0
2.0,2020,2071,*ST 长城,2018.0
0.0,2020,509,*ST 华塑,2020.0
3.0,2021,300203,聚光科技,2018.0
1.0,2020,2071,*ST 长城,2019.0
3.0,2020,510,新金路,2017.0
2.0,2021,300203,聚光科技,2019.0
1.0,2017,511,*ST 烯碳,2016.0
1.0,2021,300203,聚光科技,2020.0
6.0,2020,518,四环生物,2014.0
0.0,2021,300203,聚光科技,2021.0
5.0,2020,518,四环生物,2015.0
3.0,2022,300215,电科院,2019.0
4.0,2020,518,四环生物,2016.0
2.0,2022,300215,电科院,2020.0
3.0,2020,518,四环生物,2017.0
8.0,2023,300237,美晨生态,2015.0
2.0,2020,518,四环生物,2018.0
7.0,2023,300237,美晨生态,2016.0
5.0,2019,519,中兵红箭,2014.0
6.0,2023,300237,美晨生态,2017.0
2.0,2020,2325,洪涛股份,2018.0
4.0,2019,519,中兵红箭,2015.0
5.0,2023,300237,美晨生态,2018.0
2.0,2019,300540,深冷股份,2017.0
3.0,2019,519,中兵红箭,2016.0
4.0,2023,300237,美晨生态,2019.0
1.0,2019,300540,深冷股份,2018.0
2.0,2019,519,中兵红箭,2017.0
3.0,2023,300237,美晨生态,2020.0
1.0,2022,2629,仁智股份,2021.0
3.0,2021,523,*ST 浪奇,2018.0
3.0,2022,300256,*ST 星星,2019.0
2.0,2021,523,*ST 浪奇,2019.0
2.0,2022,300256,*ST 星星,2020.0
1.0,2021,523,*ST 浪奇,2020.0
3.0,2022,300262,巴安水务,2019.0
0.0,2019,300140,中环装备,2019.0
1.0,2020,525,红太阳,2019.0
2.0,2022,300262,巴安水务,2020.0
0.0,2020,525,红太阳,2020.0
3.0,2018,300267,尔康制药,2015.0
4.0,2022,533,顺钠股份,2018.0
2.0,2018,300267,尔康制药,2016.0
2.0,2020,534,万泽股份,2018.0
3.0,2023,300273,*ST 和佳,2020.0
1.0,2020,536,*ST 华映,2019.0
2.0,2023,300273,*ST 和佳,2021.0
3.0,2021,540,中天金融,2018.0
2.0,2018,300275,梅安森,2016.0
2.0,2020,600193,ST 创兴,2018.0
2.0,2021,540,中天金融,2019.0
5.0,2022,300297,*ST 蓝盾,2017.0
2.0,2023,545,金浦钛业,2021.0
4.0,2022,300297,*ST 蓝盾,2018.0
2.0,2017,555,神州信息,2015.0
